,index,fit_time,score_time,test_accuracy,test_f1,test_recall
0,Logistic Regression,0.1089,0.0141,0.8548,0.6149,0.7554
1,Random Forest,6.0488,0.0862,0.8841,0.6709,0.7702
2,SVC,4.1816,0.2814,0.8714,0.6374,0.7364
