,index,precision,recall,f1-score,support
0,No-revenue,0.9525354969574037,0.905165767154973,0.928246689068986,2594.0
1,Revenue,0.6019417475728155,0.7607361963190185,0.6720867208672087,489.0
2,accuracy,0.8822575413558222,0.8822575413558222,0.8822575413558222,0.8822575413558222
3,macro avg,0.7772386222651095,0.8329509817369958,0.8001667049680974,3083.0
4,weighted avg,0.8969272116998418,0.8822575413558222,0.8876167103305269,3083.0
