,index,precision,recall,f1-score,support
0,No-revenue,0.9204253758709204,0.9676175790285274,0.9434316857733508,2594.0
1,Revenue,0.7640449438202247,0.556237218813906,0.6437869822485207,489.0
2,accuracy,0.9023678235484918,0.9023678235484918,0.9023678235484918,0.9023678235484918
3,macro avg,0.8422351598455726,0.7619273989212167,0.7936093340109358,3083.0
4,weighted avg,0.8956216031583708,0.9023678235484918,0.8959045174231588,3083.0
